Bet ID,Horse,Track,Race #,Predicted Confidence (%),Actual Result,Stake ($),Odds,Profit/Loss ($),ROI (%),CLV (%)
161,Flying Start,Alice Springs,1,0,LOSS,20.00,0.00,-20.00,-100.0,
162,Super Sharp,Alice Springs,1,0,LOSS,40.00,0.00,-40.00,-100.0,
163,Grinzinger Lass,Alice Springs,1,0,LOSS,25.00,0.00,-25.00,-100.0,
170,Stellar Legend,Bowen,1,0,PLACE,30.00,0.00,11.85,39.5,
171,Arancia,Bowen,1,0,PLACE,30.00,0.00,23.63,78.8,
172,Merchant Flyer,Caulfield,1,0,PLACE,25.00,0.00,11.00,44.0,
173,Mahoney'S Machine,Geraldton,1,0,LOSS,30.00,0.00,-30.00,-100.0,
164,Stella Bystarlight,Alice Springs,2,0,PLACE,30.00,0.00,7.25,24.2,
165,Bon'S A Lad,Alice Springs,3,0,PLACE,25.00,0.00,9.63,38.5,
166,Flying Yishu,Alice Springs,4,0,PLACE,50.00,0.00,16.88,33.8,
167,Arrogant Miss,Alice Springs,5,0,PLACE,25.00,0.00,17.81,71.2,
168,Valley Prince,Alice Springs,6,0,WIN,40.00,0.00,92.00,230.0,
169,Venting,Alice Springs,7,0,WIN,25.00,0.00,37.00,148.0,
11,Jannik,Alice Springs,1,34,LOSS,20.00,91.00,-20.00,-100.0,
12,A Book Of Days,Alice Springs,1,34,LOSS,20.00,51.00,-20.00,-100.0,
13,Rubi Air,Alice Springs,1,34,LOSS,20.00,35.00,-20.00,-100.0,
14,Spirits Burn Deep,Alice Springs,1,34,LOSS,20.00,35.00,-20.00,-100.0,
15,Ace Of Lace,Alice Springs,1,34,LOSS,20.00,21.00,-20.00,-100.0,
16,Jannik,Ballina,1,34,LOSS,20.00,81.00,-20.00,-100.0,
17,A Book Of Days,Ballina,1,34,LOSS,20.00,46.00,-20.00,-100.0,
18,Spirits Burn Deep,Ballina,1,34,LOSS,20.00,34.00,-20.00,-100.0,
19,Rubi Air,Ballina,1,34,LOSS,20.00,31.00,-20.00,-100.0,
20,Ace Of Lace,Ballina,1,34,LOSS,20.00,20.00,-20.00,-100.0,
21,Jannik,Caulfield,1,34,LOSS,20.00,81.00,-20.00,-100.0,
22,A Book Of Days,Caulfield,1,34,LOSS,20.00,46.00,-20.00,-100.0,
23,Spirits Burn Deep,Caulfield,1,34,LOSS,20.00,34.00,-20.00,-100.0,
24,Rubi Air,Caulfield,1,34,LOSS,20.00,31.00,-20.00,-100.0,
25,Ace Of Lace,Caulfield,1,34,LOSS,20.00,20.00,-20.00,-100.0,
26,Jannik,Geraldton,1,34,LOSS,20.00,81.00,-20.00,-100.0,
27,A Book Of Days,Geraldton,1,34,LOSS,20.00,46.00,-20.00,-100.0,
28,Spirits Burn Deep,Geraldton,1,34,LOSS,20.00,34.00,-20.00,-100.0,
29,Rubi Air,Geraldton,1,34,LOSS,20.00,31.00,-20.00,-100.0,
30,Ace Of Lace,Geraldton,1,34,LOSS,20.00,20.00,-20.00,-100.0,
61,Jannik,Ascot,1,34,LOSS,20.00,71.00,-20.00,-100.0,
62,A Book Of Days,Ascot,1,34,LOSS,20.00,46.00,-20.00,-100.0,
63,Spirits Burn Deep,Ascot,1,34,LOSS,20.00,35.00,-20.00,-100.0,
64,Rubi Air,Ascot,1,34,LOSS,20.00,31.00,-20.00,-100.0,
65,Ace Of Lace,Ascot,1,34,LOSS,20.00,20.00,-20.00,-100.0,
131,Jannik,Bowen,1,34,LOSS,20.00,71.00,-20.00,-100.0,
132,A Book Of Days,Bowen,1,34,LOSS,20.00,51.00,-20.00,-100.0,
133,Rubi Air,Bowen,1,34,LOSS,20.00,35.00,-20.00,-100.0,
134,Spirits Burn Deep,Bowen,1,34,LOSS,20.00,34.00,-20.00,-100.0,
135,Ace Of Lace,Bowen,1,34,LOSS,20.00,19.00,-20.00,-100.0,
174,Simply Sonnet,Hawkesbury,1,0,LOSS,40.00,0.00,-40.00,-100.0,
177,Moke Lake,Scone,1,0,LOSS,35.00,0.00,-35.00,-100.0,
178,Mud 'N' Blood,Ballina,1,0,LOSS,25.00,0.00,-25.00,-100.0,
179,Rebelious Red,Longreach,1,0,LOSS,20.00,0.00,-20.00,-100.0,
181,Oscar Booie,Townsville,1,0,LOSS,20.00,0.00,-20.00,-100.0,
182,Boyd,Seymour,1,0,LOSS,40.00,0.00,-40.00,-100.0,
183,Amedei,Donald,1,0,LOSS,50.00,0.00,-50.00,-100.0,
31,Jannik,Alice Springs,2,34,LOSS,20.00,81.00,-20.00,-100.0,
32,A Book Of Days,Alice Springs,2,34,LOSS,20.00,46.00,-20.00,-100.0,
33,Rubi Air,Alice Springs,2,34,LOSS,20.00,31.00,-20.00,-100.0,
34,Spirits Burn Deep,Alice Springs,2,34,LOSS,20.00,31.00,-20.00,-100.0,
35,Ace Of Lace,Alice Springs,2,34,LOSS,20.00,20.00,-20.00,-100.0,
66,Jannik,Ascot,2,34,LOSS,20.00,71.00,-20.00,-100.0,
67,A Book Of Days,Ascot,2,34,LOSS,20.00,46.00,-20.00,-100.0,
68,Spirits Burn Deep,Ascot,2,34,LOSS,20.00,35.00,-20.00,-100.0,
69,Rubi Air,Ascot,2,34,LOSS,20.00,31.00,-20.00,-100.0,
70,Ace Of Lace,Ascot,2,34,LOSS,20.00,20.00,-20.00,-100.0,
106,Jannik,Ballina,2,34,LOSS,20.00,71.00,-20.00,-100.0,
107,A Book Of Days,Ballina,2,34,LOSS,20.00,46.00,-20.00,-100.0,
108,Rubi Air,Ballina,2,34,LOSS,20.00,35.00,-20.00,-100.0,
109,Spirits Burn Deep,Ballina,2,34,LOSS,20.00,31.00,-20.00,-100.0,
110,Ace Of Lace,Ballina,2,34,LOSS,20.00,20.00,-20.00,-100.0,
136,Jannik,Bowen,2,34,LOSS,20.00,71.00,-20.00,-100.0,
137,A Book Of Days,Bowen,2,34,LOSS,20.00,51.00,-20.00,-100.0,
138,Rubi Air,Bowen,2,34,LOSS,20.00,35.00,-20.00,-100.0,
139,Spirits Burn Deep,Bowen,2,34,LOSS,20.00,34.00,-20.00,-100.0,
140,Ace Of Lace,Bowen,2,34,LOSS,20.00,19.00,-20.00,-100.0,
156,Jannik,Caulfield,2,34,LOSS,20.00,71.00,-20.00,-100.0,
157,A Book Of Days,Caulfield,2,34,LOSS,20.00,51.00,-20.00,-100.0,
158,Spirits Burn Deep,Caulfield,2,34,LOSS,20.00,35.00,-20.00,-100.0,
159,Rubi Air,Caulfield,2,34,LOSS,20.00,31.00,-20.00,-100.0,
160,Ace Of Lace,Caulfield,2,34,LOSS,20.00,17.00,-20.00,-100.0,
175,Camilla'S Knickers,Hawkesbury,2,0,LOSS,35.00,0.00,-35.00,-100.0,
180,Unravel,Sapphire Coast,2,0,LOSS,25.00,0.00,-25.00,-100.0,
36,Jannik,Alice Springs,3,34,LOSS,20.00,81.00,-20.00,-100.0,
37,A Book Of Days,Alice Springs,3,34,LOSS,20.00,46.00,-20.00,-100.0,
38,Rubi Air,Alice Springs,3,34,LOSS,20.00,31.00,-20.00,-100.0,
39,Spirits Burn Deep,Alice Springs,3,34,LOSS,20.00,31.00,-20.00,-100.0,
40,Ace Of Lace,Alice Springs,3,34,LOSS,20.00,21.00,-20.00,-100.0,
71,Jannik,Ascot,3,34,LOSS,20.00,71.00,-20.00,-100.0,
72,A Book Of Days,Ascot,3,34,LOSS,20.00,46.00,-20.00,-100.0,
73,Spirits Burn Deep,Ascot,3,34,LOSS,20.00,35.00,-20.00,-100.0,
74,Rubi Air,Ascot,3,34,LOSS,20.00,31.00,-20.00,-100.0,
75,Ace Of Lace,Ascot,3,34,LOSS,20.00,20.00,-20.00,-100.0,
111,Jannik,Ballina,3,34,LOSS,20.00,71.00,-20.00,-100.0,
112,A Book Of Days,Ballina,3,34,LOSS,20.00,46.00,-20.00,-100.0,
113,Rubi Air,Ballina,3,34,LOSS,20.00,35.00,-20.00,-100.0,
114,Spirits Burn Deep,Ballina,3,34,LOSS,20.00,31.00,-20.00,-100.0,
115,Ace Of Lace,Ballina,3,34,LOSS,20.00,19.00,-20.00,-100.0,
141,Jannik,Bowen,3,34,LOSS,20.00,71.00,-20.00,-100.0,
142,A Book Of Days,Bowen,3,34,LOSS,20.00,51.00,-20.00,-100.0,
143,Spirits Burn Deep,Bowen,3,34,LOSS,20.00,34.00,-20.00,-100.0,
144,Rubi Air,Bowen,3,34,LOSS,20.00,31.00,-20.00,-100.0,
145,Ace Of Lace,Bowen,3,34,LOSS,20.00,18.00,-20.00,-100.0,
176,Chapados,Caulfield,3,0,LOSS,50.00,0.00,-50.00,-100.0,
41,Jannik,Alice Springs,4,34,LOSS,20.00,81.00,-20.00,-100.0,
42,A Book Of Days,Alice Springs,4,34,LOSS,20.00,46.00,-20.00,-100.0,
43,Rubi Air,Alice Springs,4,34,LOSS,20.00,31.00,-20.00,-100.0,
44,Spirits Burn Deep,Alice Springs,4,34,LOSS,20.00,31.00,-20.00,-100.0,
45,Ace Of Lace,Alice Springs,4,34,LOSS,20.00,20.00,-20.00,-100.0,
76,Jannik,Ascot,4,34,LOSS,20.00,81.00,-20.00,-100.0,
77,A Book Of Days,Ascot,4,34,LOSS,20.00,46.00,-20.00,-100.0,
78,Spirits Burn Deep,Ascot,4,34,LOSS,20.00,35.00,-20.00,-100.0,
79,Rubi Air,Ascot,4,34,LOSS,20.00,31.00,-20.00,-100.0,
80,Ace Of Lace,Ascot,4,34,LOSS,20.00,20.00,-20.00,-100.0,
116,Jannik,Ballina,4,34,LOSS,20.00,71.00,-20.00,-100.0,
117,A Book Of Days,Ballina,4,34,LOSS,20.00,46.00,-20.00,-100.0,
118,Rubi Air,Ballina,4,34,LOSS,20.00,35.00,-20.00,-100.0,
119,Spirits Burn Deep,Ballina,4,34,LOSS,20.00,31.00,-20.00,-100.0,
120,Ace Of Lace,Ballina,4,34,LOSS,20.00,20.00,-20.00,-100.0,
146,Jannik,Bowen,4,34,LOSS,20.00,71.00,-20.00,-100.0,
147,A Book Of Days,Bowen,4,34,LOSS,20.00,51.00,-20.00,-100.0,
148,Spirits Burn Deep,Bowen,4,34,LOSS,20.00,34.00,-20.00,-100.0,
149,Rubi Air,Bowen,4,34,LOSS,20.00,31.00,-20.00,-100.0,
150,Ace Of Lace,Bowen,4,34,LOSS,20.00,18.00,-20.00,-100.0,
46,Jannik,Alice Springs,5,34,LOSS,20.00,81.00,-20.00,-100.0,
47,A Book Of Days,Alice Springs,5,34,LOSS,20.00,46.00,-20.00,-100.0,
48,Rubi Air,Alice Springs,5,34,LOSS,20.00,31.00,-20.00,-100.0,
